time; o_metric; dfl_metric; v_metric; fit_cluster
3.232;  0.899179; 0.327063; 0.205745; 0.060507
3.248;  0.900638; 0.32712; 0.194219; 0.0572202
3.264;  0.901002; 0.327167; 0.201243; 0.0593221
3.28;  0.902132; 0.327221; 0.194587; 0.0574414
3.296;  0.902893; 0.327269; 0.200858; 0.0593513
3.312;  0.903275; 0.327315; 0.198742; 0.0587593
3.328;  0.903048; 0.327354; 0.200887; 0.0593854
3.344;  0.902776; 0.3274; 0.202304; 0.0597949
3.36;  0.902942; 0.327445; 0.197327; 0.0583425
3.376;  0.902378; 0.327485; 0.204444; 0.0604164
3.392;  0.903662; 0.327535; 0.196145; 0.0580553
3.408;  0.904949; 0.327583; 0.194364; 0.0576183
3.424;  0.905959; 0.327635; 0.195455; 0.0580156
3.44;  0.906287; 0.327672; 0.195892; 0.0581731
3.456;  0.906844; 0.327725; 0.198377; 0.0589569
3.472;  0.908198; 0.327777; 0.19399; 0.0577483
3.488;  0.908185; 0.32782; 0.198013; 0.0589527
3.504;  0.908108; 0.327853; 0.204663; 0.0609336
3.52;  0.908394; 0.327898; 0.198383; 0.0590903
3.536;  0.908169; 0.327939; 0.205137; 0.0610949
3.552;  0.909226; 0.327987; 0.19899; 0.0593417
3.568;  0.910475; 0.328045; 0.190441; 0.0568803
3.584;  0.911288; 0.328088; 0.199952; 0.059782
3.6;  0.911499; 0.328137; 0.194933; 0.0583038
3.616;  0.911308; 0.328182; 0.198153; 0.0592628
3.632;  0.911629; 0.328224; 0.194925; 0.0583252
3.648;  0.912107; 0.328269; 0.19861; 0.0594671
3.664;  0.912157; 0.328316; 0.194595; 0.0582764
3.68;  0.912745; 0.32836; 0.198724; 0.0595594
3.696;  0.913856; 0.328417; 0.195887; 0.0587907
3.712;  0.915132; 0.328463; 0.195533; 0.0587746
3.728;  0.915196; 0.328505; 0.199806; 0.0600711
3.744;  0.914818; 0.328541; 0.203246; 0.0610867
3.76;  0.914298; 0.328591; 0.197774; 0.0594174
3.776;  0.915903; 0.328647; 0.190065; 0.0572114
3.792;  0.916438; 0.328694; 0.198134; 0.0596834
3.808;  0.91653; 0.328737; 0.20169; 0.0607685
3.824;  0.91739; 0.32879; 0.194576; 0.0586898
3.84;  0.91856; 0.328849; 0.188416; 0.0569144
3.856;  0.919375; 0.328897; 0.188406; 0.0569702
3.872;  0.918944; 0.328944; 0.196245; 0.0593212
3.888;  0.919348; 0.328991; 0.1971; 0.0596142
3.904;  0.919582; 0.329028; 0.198529; 0.0600685
3.92;  0.919658; 0.329077; 0.192316; 0.0582022
3.936;  0.920242; 0.329133; 0.192585; 0.0583306
3.952;  0.920629; 0.329185; 0.194013; 0.0587971
3.968;  0.920564; 0.32922; 0.198739; 0.0602316
3.984;  0.921635; 0.32927; 0.195179; 0.0592304
4;  0.921519; 0.32931; 0.193284; 0.0586549
4.016;  0.92205; 0.329345; 0.194721; 0.0591315
4.032;  0.922726; 0.329385; 0.194033; 0.0589728
4.048;  0.923806; 0.329432; 0.189846; 0.057776
4.064;  0.924089; 0.329467; 0.194851; 0.0593237
4.08;  0.924781; 0.329509; 0.192451; 0.0586444
4.096;  0.925455; 0.329551; 0.192582; 0.0587344
4.112;  0.924699; 0.329581; 0.200037; 0.0609639
4.128;  0.925229; 0.329611; 0.198608; 0.0605686
4.144;  0.925162; 0.329642; 0.196589; 0.0599542
4.16;  0.927706; 0.3297; 0.187931; 0.0574814
4.176;  0.928272; 0.329742; 0.1922; 0.0588306
4.192;  0.927877; 0.32978; 0.193146; 0.0591019
4.208;  0.927878; 0.329816; 0.193266; 0.0591449
4.224;  0.928556; 0.329863; 0.191742; 0.0587299
4.24;  0.929362; 0.329903; 0.189128; 0.0579867
4.256;  0.929262; 0.329933; 0.192813; 0.0591152
4.272;  0.929554; 0.329978; 0.189723; 0.0581941
